Work Order Number,Customer Number,Memo (Main),Name,Address,City,State,Zip,FixedTime,Weight,Total Weight NH,OrderDate,Quantity,Total Quantity,EqCode,Open1,Close1,Pattern1,Longitude,Latitude,OrderType,Filler,Shipment Date,Standing Appointment,Seq,County,Rt,Food Pallets, Pet Food Pallets,Chemical Pallets,Delivery Instructions,Total Case Cube,Static Appointment
973256,4030,- None -,M.S. 127,1551 Castle Hill Ave,Bronx,NY,10462  ,30,1623,1623,1/6/2026,,860, ,830,1230,T,-73.850825,40.830978,Dry,No,1/6/2026,No,1, ,45,10.02,0,0,- None -,641.22,No
973258,4030,- None -,M.S. 127,1551 Castle Hill Ave,Bronx,NY,10462  ,30,3274,3274,1/6/2026,,2658, ,830,1230,T,-73.850825,40.830978,Cold,No,1/6/2026,No,1, ,45,22.42,0,0,- None -,1435.04,No
973263,4002,- None -,Mount Hope Playground,1921 Walton Ave,Bronx,NY,10453,30,2908,2908,1/12/2026,,1936, ,830,1230,NA,-73.908416,40.848547,Dry,No,1/10/2026,No,1,Bronx,1,22.43,0,0.02,- None -,1436.12,No
973264,4002,- None -,Mount Hope Playground,1921 Walton Ave,Bronx,NY,10453,30,1480,1480,1/12/2026,,794, ,830,1230,NA,-73.908416,40.848547,Cold,No,1/10/2026,No,1,Bronx,1,9.41,0,0,- None -,602.14,No
973266,4025,- None -,Mobile Pantry @ Spofford Ave,1300 Spofford Ave,Bronx,NY,10474,30,860,860,1/7/2026,,57, ,830,1230,W,-73.886389,40.814509,Dry,No,1/7/2026,No,1, ,45,0.49,0,0.02,- None -,32.56,No
973268,4025,- None -,Mobile Pantry @ Spofford Ave,1300 Spofford Ave,Bronx,NY,10474,30,2539,2539,1/7/2026,,1923, ,830,1230,W,-73.886389,40.814509,Cold,No,1/7/2026,No,1, ,45,13.91,0,0,- None -,890.09,No
973270,4007,- None -,Medgar Evers College,1638 Bedford Avenue,Brooklyn,NY,11225,30,908,908,1/8/2026,,39, ,830,1230,R,-73.956506,40.666736,Dry,No,1/8/2026,No,1,Brooklyn,45,0.35,0,0.15,- None -,31.78,No
973271,4007,- None -,Medgar Evers College,1638 Bedford Avenue,Brooklyn,NY,11225,30,1205,1205,1/8/2026,,589, ,830,1230,R,-73.956506,40.666736,Cold,No,1/8/2026,No,1,Brooklyn,45,7.03,0,0,- None -,450.29,No
973826,85294,- None -,Redeemed Christian Church of God,1001 Morris Avenue,Bronx,NY,10456,30,4970,4970,1/6/2026,,241, ,830,1430,T,-73.916616,40.828939,Dry,Yes,1/6/2026,Yes,1,Bronx,21,2.27,0,0,10:30 am - 4:30 pm,144.68,Yes
973831,85294,- None -,Redeemed Christian Church of God,1001 Morris Avenue,Bronx,NY,10456,30,4564,4564,1/6/2026,,176, ,830,1430,T,-73.916616,40.828939,Cold,Yes,1/6/2026,Yes,1,Bronx,21,3.25,0,0,10:30 am - 4:30 pm,207.78,Yes
973994,4033,- None -,J.H.S 123 James M. Kieran,1105 Morrison Avenue,Bronx,NY,10472,30,3685,3685,1/13/2026,,2302, ,830,1230,T,-73.873931,40.826738,Dry,No,1/13/2026,No,1, ,45,26.68,0,0,- None -,1708.13,No
973995,4033,- None -,J.H.S 123 James M. Kieran,1105 Morrison Avenue,Bronx,NY,10472,30,3069,3069,1/13/2026,,1991, ,830,1230,T,-73.873931,40.826738,Cold,No,1/13/2026,No,1, ,45,16.78,0,0,- None -,1074.46,No
973996,4026,- None -,Mobile Pantry @ Travers Park,76-9 34th Avenue,Flushing,NY,11372,30,1621,1621,1/14/2026,,92, ,830,1230,W,-73.862106,40.747923,Dry,No,1/14/2026,No,1, ,46,0.69,0,0.17,- None -,56.3,No
973997,4026,- None -,Mobile Pantry @ Travers Park,76-9 34th Avenue,Flushing,NY,11372,30,2848,2848,1/14/2026,,1770, ,830,1230,W,-73.862106,40.747923,Cold,No,1/14/2026,No,1, ,46,12.13,0,0,- None -,776.41,No
974113,4020,- None -,Lehman Village,1589 Madison Avenue,New York,NY,10029,30,743,743,1/19/2026,,52, ,830,1230,NA,-73.948979,40.794311,Dry,No,1/24/2026,No, ,Manhattan,Bronx,0.45,0,0,- None -,29.37,No
974119,4020,- None -,Lehman Village,1589 Madison Avenue,New York,NY,10029,30,2155,2155,1/19/2026,,1539, ,830,1230,NA,-73.948979,40.794311,Cold,No,1/24/2026,No,1,Manhattan,Bronx,18.13,0,0,- None -,1160.05,No
974120,4032,- None -,Zero Hunger   ,33 Avenue P,Brooklyn,NY,11234   ,30,2570,2570,1/12/2026,,1687, ,830,1230,NA,-73.987107,40.607269,Dry,No,1/10/2026,No,1, ,2,19.6,0,0,- None -,1254.97,No
974122,4032,- None -,Zero Hunger   ,33 Avenue P,Brooklyn,NY,11234   ,30,1356,1356,1/12/2026,,792, ,830,1230,NA,-73.987107,40.607269,Cold,No,1/10/2026,No,1, ,2,9.36,0,0,- None -,598.8,No
974231,80121,- None -,Part of the Solution (POTS),2759 Webster Avenue,Bronx,NY,10458,30,5110,5110,1/14/2026,,179, ,830,1230,W,-73.886421,40.865649,Dry,Yes,1/14/2026,Yes,1,Bronx,19,2,0,0,8:00-12:00 -  Requests Stop #1 or 2 - Not able to receive after 12pm,125.51,Yes
974232,80121,- None -,Part of the Solution (POTS),2759 Webster Avenue,Bronx,NY,10458,30,3122,3122,1/14/2026,,116, ,830,1230,W,-73.886421,40.865649,Cold,Yes,1/14/2026,Yes,1,Bronx,19,2.21,0,0,8:00-12:00 -  Requests Stop #1 or 2 - Not able to receive after 12pm,141.34,Yes
974233,83550,- None -,Part of the Solution,2759 Webster Avenue,Bronx,NY,10458,30,4824,4824,1/14/2026,,176, ,830,1230,W,-73.886421,40.865649,Dry,Yes,1/14/2026,Yes,1,Bronx,19,1.93,0,0,8:00-12:00 -  Requests Stop #1 or 2 - Not able to receive after 12pm,121.28,Yes
974234,83550,- None -,Part of the Solution,2759 Webster Avenue,Bronx,NY,10458,30,2308,2308,1/14/2026,,94, ,830,1230,W,-73.886421,40.865649,Cold,Yes,1/14/2026,Yes,1,Bronx,19,1.7,0,0,8:00-12:00 -  Requests Stop #1 or 2 - Not able to receive after 12pm,108.34,Yes
974318,83333,- None -,Pentecost Care Community Outreach,621 East 216th Street,Bronx,NY,10467,30,846,846,1/7/2026,,26, ,830,1230,W,-73.866922,40.882228,Cold,Yes,1/7/2026,Yes,2,Bronx,28,0.52,0,0,Please 8:30-9:30; 12:30-1:30. Call when close to location.,33.07,Yes
974332,4030,- None -,M.S. 127,1551 Castle Hill Ave,Bronx,NY,10462  ,30,1145,1145,1/6/2026,,53, ,830,1230,T,-73.850825,40.830978,Dry,No,1/6/2026,No,1, ,45,0.54,0,0,- None -,34.6,No
974333,4025,- None -,Mobile Pantry @ Spofford Ave,1300 Spofford Ave,Bronx,NY,10474,30,1011,1011,1/7/2026,,53, ,830,1230,W,-73.886389,40.814509,Dry,No,1/7/2026,No,1, ,45,0.51,0,0,- None -,33.05,No
974334,4007,- None -,Medgar Evers College,1638 Bedford Avenue,Brooklyn,NY,11225,30,928,928,1/8/2026,,45, ,830,1230,R,-73.956506,40.666736,Dry,No,1/8/2026,No,1,Brooklyn,45,0.46,0,0,- None -,29.45,No
974335,4002,- None -,Mount Hope Playground,1921 Walton Ave,Bronx,NY,10453,30,657,657,1/12/2026,,37, ,830,1230,NA,-73.908416,40.848547,Dry,No,1/10/2026,No,1,Bronx,1,0.36,0,0,- None -,22.62,No
974336,4032,- None -,Zero Hunger   ,33 Avenue P,Brooklyn,NY,11234   ,30,935,935,1/12/2026,,52, ,830,1230,NA,-73.987107,40.607269,Dry,No,1/10/2026,No,1, ,2,0.54,0,0,- None -,33.96,No
974370,85579,- None -,"MUNA Social Service, Inc.",80-50 Pitkin Ave,Ozone Park,NY,11417,30,6502,6502,1/9/2026,,255, ,830,1230,F,-73.855033,40.675864,Dry,No,1/9/2026,No,3,Brooklyn,19,3.14,0,0,Fridays 8:30am- 12:30pm,199.55,No
974371,85579,- None -,"MUNA Social Service, Inc.",80-50 Pitkin Ave,Ozone Park,NY,11417,30,4417,4417,1/8/2026,,126, ,830,1230,R,-73.855033,40.675864,Cold,No,1/8/2026,No,3,Brooklyn,15,2.56,0,0,Fridays 8:30am- 12:30pm,164.71,No
974390,87208,- None -,Isaacs Holmes Food Pantry,415 East 93rd Street,New York,NY,10128,30,2724,2724,1/5/2026,,124, ,830,1230,M,-73.945112,40.780904,Dry,No,1/5/2026,No,6,Manhattan,23,1.29,0,0,"Best Delivery Contact: JENNIFER ESTRADA is 347-279-0642_Monday- Wednesday 9am-3pm; Arrive through the FDR  93rd St entrance, as we have ongoing construction in around our location.",82.67,No
974396,81578,- None -,"Family Services Network of NY, Inc.",1420 Bushwick Avenue,Brooklyn,NY,11207,30,2460,2460,1/5/2026,,104, ,1230,1630,M,-73.909056,40.684318,Dry,Yes,1/5/2026,Yes,4,Brooklyn,16,1.12,0,0,Delivery Mon-Thur 9am-230pm. Use parking lot entrance for all delivery.,71.22,Yes
974411,82104,- None -,Leviticus Church,114-12 Van Wyck Expressway,South Ozone Park,NY,11420,30,4156,4156,1/6/2026,,172, ,30,1630,T,-73.806024,40.682387,Dry,Yes,1/6/2026,Yes,3,Queens,11,1.79,0,0,"900am-430pm - call when outside with delivery, or if no one is around, call 253-267-2333",112.92,Yes
974413,82104,- None -,Leviticus Church,114-12 Van Wyck Expressway,South Ozone Park,NY,11420,30,2344,2344,1/6/2026,,64, ,1230,1630,T,-73.806024,40.682387,Cold,Yes,1/6/2026,Yes,3,Queens,11,1.77,0,0,"900am-430pm - call when outside with delivery, or if no one is around, call 253-267-2333",113.08,Yes
974461,80866,- None -,Allen Outreach Ministry Feeding Program,110-31 Merrick Boulevard,Jamaica,NY,11433,30,3678,3678,1/5/2026,,136, ,830,1230,M,-73.782002,40.695127,Cold,Yes,1/5/2026,Yes,2,Queens,4,2.61,0,0,Deliveries Mon & Tues 8am-1pm.,167.1,Yes
974465,80866,- None -,Allen Outreach Ministry Feeding Program,110-31 Merrick Boulevard,Jamaica,NY,11433,30,3445,3445,1/5/2026,,164, ,830,1230,M,-73.782002,40.695127,Dry,Yes,1/5/2026,Yes,2,Queens,4,1.88,0,0,Deliveries Mon & Tues 8am-1pm.,120.24,Yes
974483,85322,- None -,Christ Apostolic Church Goke Food Pantry,622 Cortelyou Road,Brooklyn,NY,11218,30,6691,6691,1/6/2026,,331, ,830,1230,T,-73.972577,40.638584,Dry,No,1/6/2026,No,1,Brooklyn,17,3.3,0,0,"Side Door, 8:30 - 2:00pm",209.74,No
974484,85322,- None -,Christ Apostolic Church Goke Food Pantry,622 Cortelyou Road,Brooklyn,NY,11218,30,3696,3696,1/6/2026,,121, ,830,1230,T,-73.972577,40.638584,Cold,No,1/6/2026,No,1,Brooklyn,17,1.9,0,0,"Side Door, 8:30 - 2:00pm",121.42,No
974515,80699,- None -,Project Create-Anthony House,73 Lenox Avenue,New York,NY,10026,30,1557,1557,1/6/2026,,44, ,1230,1630,T,-73.950777,40.800543,Cold,Yes,1/6/2026,Yes,1,Manhattan,8,0.92,0,0,Tuesday delivery ONLY 8am-2pm address is 73 Lenox Ave.,58.9,Yes
974517,80699,- None -,Project Create-Anthony House,73 Lenox Avenue,New York,NY,10026,30,1778,1778,1/6/2026,,70, ,1230,1630,T,-73.950777,40.800543,Dry,Yes,1/6/2026,Yes,1,Manhattan,8,0.64,0,0,Tuesday delivery ONLY 8am-2pm address is 73 Lenox Ave.,41.28,Yes
974537,80543,- None -,Community Impact Food Pantry,616 West 114th Street,New York,NY,10025,30,2022,2022,1/5/2026,,84, ,830,1230,M,-73.965897,40.807136,Dry,Yes,1/5/2026,Yes,2,Manhattan,24,0.87,0,0,Deliveries Monday & Thursday 9am-4pm  There are 6 steps from sidewalk to pantry door.,56.15,Yes
974538,80543,- None -,Community Impact Food Pantry,616 West 114th Street,New York,NY,10025,30,1138,1138,1/5/2026,,28, ,830,1230,M,-73.965897,40.807136,Cold,Yes,1/5/2026,Yes,2,Manhattan,24,0.7,0,0,Deliveries Monday & Thursday 9am-4pm  There are 6 steps from sidewalk to pantry door.,44.53,Yes
974550,81665,- None -,Hope Line,884 E 163rd St,Bronx,NY,10459,30,5715,5715,1/5/2026,,229, ,830,1230,M,-73.898666,40.821045,Dry,Yes,1/5/2026,Yes,1,Bronx,18,2.49,0,0,- None -,158.09,Yes
974552,81665,- None -,Hope Line,884 E 163rd St,Bronx,NY,10459,30,2530,2530,1/5/2026,,62, ,830,1230,M,-73.898666,40.821045,Cold,Yes,1/5/2026,Yes,1,Bronx,18,1.63,0,0,- None -,105.06,Yes
974555,85315,- None -,Health Essential Association,2101 East 16th Street,Brooklyn,NY,11229,30,448,448,1/5/2026,,21, ,830,1230,M,-73.955406,40.59862,Dry,No,1/5/2026,No,1,Brooklyn,5,0.19,0,0,- None -,12.46,No
974556,85315,- None -,Health Essential Association,2101 East 16th Street,Brooklyn,NY,11229,30,1974,1974,1/5/2026,,49, ,830,1230,M,-73.955406,40.59862,Cold,No,1/5/2026,No,1,Brooklyn,5,1.36,0,0,- None -,86.73,No
974557,83174,- None -,Southside United HDFC Inc,145 South 3rd Street,Brooklyn,NY,11211,30,2900,2900,1/5/2026,,72, ,830,1230,M,-73.961844,40.712279,Cold,Yes,1/5/2026,Yes,1,Brooklyn,16,1.99,0,0,Monday morning 8:30-12:30. Volunteers leave at 1pm. Go to the Security guard at 145 So. 3rd who will open the gate to the back parking lot.  Drive in.  Take the elevator to the Pantry in the basement.  Delieveries should only be made in straight trucks.,127.46,Yes
974594,85348,- None -,The Legacy Center Community Development Corp.,71-02 Cypress Hills Street,Glendale,NY,11385,30,2900,2900,1/7/2026,,72, ,830,1230,W,-73.892395,40.701741,Cold,Yes,1/7/2026,Yes,1,Queens,28,1.99,0,0,Wednesday's,127.46,Yes
