customer_id,customer_name,latitude,longitude,total_pallets_unrounded,total_pallets_rounded,total_orders,address,city_borough,pallets_per_order,day_of_week
18,Customer 018,40.84297611177931,-73.84592385676613,311.12,343,74,3144 Main Street,Bronx,4.2,All Days
87,Customer 087,40.66150707860249,-73.87346498223229,237.37,249,26,5041 Main Street,Brooklyn,9.13,All Days
3,Customer 003,40.86555164559,-73.88702973397817,224.97,237,27,1335 Main Street,Bronx,8.33,All Days
5,Customer 005,40.69747391202919,-73.82905390354207,217.07,257,76,341 Main Street,Queens,2.86,All Days
83,Customer 083,40.63287188101084,-74.16028394578468,192.68,220,49,5196 Main Street,Brooklyn,3.93,All Days
89,Customer 089,40.830728643622344,-73.89126472129591,192.4,206,29,5788 Main Street,Bronx,6.63,All Days
1,Customer 001,40.82393494763585,-73.90903906592717,117.98,132,29,3239 Main Street,Bronx,4.07,All Days
93,Customer 093,40.692614111895054,-73.84437929166077,109.15,121,24,903 Main Street,Queens,4.55,All Days
90,Customer 090,40.66953057344241,-73.7824756165742,103.58,113,17,4937 Main Street,Queens,6.09,All Days
26,Customer 026,40.67584687606802,-73.85557337127459,99.44,115,26,3238 Main Street,Queens,3.82,All Days
7,Customer 007,40.63116428754058,-73.96665280296365,95.39,108,27,6907 Main Street,Brooklyn,3.53,All Days
55,Customer 055,40.69661296220641,-73.82879015350318,85.49,90,12,4971 Main Street,Queens,7.12,All Days
63,Customer 063,40.689007393638555,-73.9173641706466,80.15,94,28,2191 Main Street,Brooklyn,2.86,All Days
88,Customer 088,40.85920015425595,-73.90056567901365,75.85,83,14,2530 Main Street,Bronx,5.42,All Days
30,Customer 030,40.63878496266752,-73.97263862633669,71.82,87,26,9131 Main Street,Brooklyn,2.76,All Days
21,Customer 021,40.68093339365346,-73.94670663597643,70.71,101,50,9662 Main Street,Brooklyn,1.41,All Days
56,Customer 056,40.7572560717902,-73.91514119505781,69.47,90,78,753 Main Street,Queens,0.89,All Days
67,Customer 067,40.86604266971237,-73.92623623009767,66.59,90,75,1871 Main Street,Bronx,0.89,All Days
31,Customer 031,40.85734534786821,-73.89474039555732,66.52,80,28,1900 Main Street,Bronx,2.38,All Days
94,Customer 094,40.69384632036886,-73.84342565090739,64.17,71,15,5509 Main Street,Queens,4.28,All Days
74,Customer 074,40.87654063424415,-73.86675762676278,63.69,77,26,358 Main Street,Bronx,2.45,All Days
4,Customer 004,40.81882756334608,-73.93725056647254,61.27,68,14,4206 Main Street,New York,4.38,All Days
95,Customer 095,40.68727132626413,-73.82300862324279,58.42,65,13,8408 Main Street,Queens,4.49,All Days
