customer_id,customer_name,latitude,longitude,total_pallets_unrounded,total_pallets_rounded,total_orders,address,city_borough,pallets_per_order,day_of_week
3,Customer 003,40.86555164559,-73.88702973397817,200.98,212,24,1335 Main Street,Bronx,8.37,Monday
1,Customer 001,40.82393494763585,-73.90903906592717,106.05,119,26,3239 Main Street,Bronx,4.08,Monday
18,Customer 018,40.84297611177931,-73.84592385676613,105.37,116,26,3144 Main Street,Bronx,4.05,Monday
5,Customer 005,40.69747391202919,-73.82905390354207,75.21,87,26,341 Main Street,Queens,2.89,Monday
95,Customer 095,40.68727132626413,-73.82300862324279,58.42,65,13,8408 Main Street,Queens,4.49,Monday
94,Customer 094,40.69384632036886,-73.84342565090739,55.34,61,13,5509 Main Street,Queens,4.26,Monday
34,Customer 034,40.768896755175966,-73.95610818925888,41.12,51,25,228 Main Street,Manhattan,1.64,Monday
21,Customer 021,40.68093339365346,-73.94670663597643,34.46,50,25,9662 Main Street,Brooklyn,1.38,Monday
53,Customer 053,40.7618627220245,-73.88916852512102,31.82,38,14,6149 Main Street,Queens,2.27,Monday
56,Customer 056,40.7572560717902,-73.91514119505781,22.97,31,26,753 Main Street,Queens,0.88,Monday
84,Customer 084,40.66480658774192,-73.9572281363883,21.77,28,26,9874 Main Street,Brooklyn,0.84,Monday
67,Customer 067,40.86604266971237,-73.92623623009767,21.75,30,24,1871 Main Street,Bronx,0.91,Monday
66,Customer 066,40.66065294279969,-73.87876303673895,21.31,26,26,6845 Main Street,Brooklyn,0.82,Monday
45,Customer 045,40.63550402142037,-74.13303054062014,20.98,29,23,8380 Main Street,Brooklyn,0.91,Monday
91,Customer 091,40.69772873982824,-73.8341823153853,19.61,27,23,8921 Main Street,Queens,0.85,Monday
46,Customer 046,40.773204917119784,-73.95678092820883,17.32,26,13,7039 Main Street,Manhattan,1.33,Monday
52,Customer 052,40.84586642009279,-73.89820757611032,16.42,22,11,1932 Main Street,Bronx,1.49,Monday
16,Customer 016,40.854973107257365,-73.86437656576189,15.3,25,24,9671 Main Street,Bronx,0.64,Monday
59,Customer 059,40.67755950741335,-73.91187495774679,14.72,22,22,6758 Main Street,Brooklyn,0.67,Monday
10,Customer 010,40.65654070000209,-73.91897014191731,14.63,25,25,6309 Main Street,Brooklyn,0.59,Monday
15,Customer 015,40.82239448550935,-73.91429829435131,14.15,26,26,1058 Main Street,Bronx,0.54,Monday
20,Customer 020,40.70811449489744,-73.79898444261066,14.13,26,26,9433 Main Street,Queens,0.54,Monday
70,Customer 070,40.67439672491399,-73.9226282137167,13.62,18,16,3828 Main Street,Brooklyn,0.85,Monday
33,Customer 033,40.88677507240233,-73.85199192252,12.61,16,13,9000 Main Street,Bronx,0.97,Monday
22,Customer 022,40.70649711069442,-73.756756602347,9.35,14,14,5247 Main Street,Queens,0.67,Monday
27,Customer 027,40.687360434885576,-73.98066195659537,7.54,12,11,9324 Main Street,Brooklyn,0.69,Monday
89,Customer 089,40.830728643622344,-73.89126472129591,6.89,7,1,8248 Main Street,Bronx,6.89,Monday
63,Customer 063,40.689007393638555,-73.9173641706466,5.62,7,2,3973 Main Street,Brooklyn,2.81,Monday
88,Customer 088,40.85920015425595,-73.90056567901365,5.6,6,1,5385 Main Street,Bronx,5.6,Monday
31,Customer 031,40.85734534786821,-73.89474039555732,5.14,6,2,1401 Main Street,Bronx,2.57,Monday
69,Customer 069,40.68901703882041,-73.80356301377114,3.66,5,5,312 Main Street,Queens,0.73,Monday
83,Customer 083,40.63287188101084,-74.16028394578468,3.41,4,1,6718 Main Street,Brooklyn,3.41,Monday
11,Customer 011,40.652082455862505,-73.92481650340132,3.33,4,2,4773 Main Street,Brooklyn,1.66,Monday
26,Customer 026,40.67584687606802,-73.85557337127459,3.23,4,1,6489 Main Street,Queens,3.23,Monday
8,Customer 008,40.81813101864817,-73.90411620231987,2.92,4,2,3264 Main Street,Bronx,1.46,Monday
42,Customer 042,40.63208584532311,-73.96647452968952,2.28,3,1,468 Main Street,Brooklyn,2.28,Monday
61,Customer 061,40.598422117306654,-73.94163633556525,2.25,3,2,6435 Main Street,Brooklyn,1.12,Monday
29,Customer 029,40.853619797063494,-73.90831990645347,2.14,3,1,832 Main Street,Bronx,2.14,Monday
60,Customer 060,40.676333247614394,-73.88613509640518,2.04,3,2,3908 Main Street,Brooklyn,1.02,Monday
82,Customer 082,40.869718152184745,-73.87892875884225,1.86,3,2,7668 Main Street,Bronx,0.93,Monday
86,Customer 086,40.85368960688969,-73.90929502876213,1.74,2,2,9814 Main Street,Bronx,0.87,Monday
79,Customer 079,40.65822719611959,-73.92944076589842,1.71,2,1,1622 Main Street,Brooklyn,1.71,Monday
51,Customer 051,40.60737229758411,-73.75316746816085,1.63,2,2,4286 Main Street,Queens,0.82,Monday
17,Customer 017,40.68918573963909,-73.95966142657014,1.42,2,1,5426 Main Street,Brooklyn,1.42,Monday
28,Customer 028,40.71519521264396,-73.74349772371512,1.36,2,2,2424 Main Street,Queens,0.68,Monday
47,Customer 047,40.71773283828544,-73.98411846097412,1.13,2,2,7255 Main Street,Manhattan,0.56,Monday
44,Customer 044,40.685443993544496,-73.943950969423,1.11,2,2,7877 Main Street,Brooklyn,0.56,Monday
39,Customer 039,40.84909985735391,-73.92113692416197,1.02,2,1,3668 Main Street,Bronx,1.02,Monday
73,Customer 073,40.65052535821618,-73.96218340829046,1.0,1,1,805 Main Street,Brooklyn,1.0,Monday
23,Customer 023,40.76091447600587,-73.88181045003793,0.99,1,1,8565 Main Street,Queens,0.99,Monday
40,Customer 040,40.76395482312956,-73.91128512522792,0.96,2,2,4879 Main Street,Queens,0.48,Monday
25,Customer 025,40.69835136729073,-73.9158925078441,0.9,1,1,6238 Main Street,Brooklyn,0.9,Monday
6,Customer 006,40.80740818873632,-73.96565982955099,0.86,1,1,9144 Main Street,Manhattan,0.86,Monday
65,Customer 065,40.76900862942308,-73.96497922070525,0.85,1,1,9806 Main Street,Manhattan,0.85,Monday
36,Customer 036,40.80325822563249,-73.93591692391615,0.81,1,1,4723 Main Street,New York,0.81,Monday
2,Customer 002,40.70595191172637,-73.75457110312014,0.7,1,1,4762 Main Street,Queens,0.7,Monday
13,Customer 013,40.81574307418728,-73.9379714247544,0.68,1,1,6934 Main Street,New York,0.68,Monday
43,Customer 043,40.68152075934443,-73.85443641970784,0.62,1,1,3706 Main Street,Queens,0.62,Monday
76,Customer 076,40.681777334052896,-73.87899490500013,0.6,1,1,7647 Main Street,Brooklyn,0.6,Monday
32,Customer 032,40.853589534832395,-73.89464414584027,0.51,1,1,7127 Main Street,Bronx,0.51,Monday
9,Customer 009,40.600009486593315,-73.74405287870175,0.42,1,1,5090 Main Street,Queens,0.42,Monday
87,Customer 087,40.66150707860249,-73.87346498223229,226.22,237,25,5041 Main Street,Brooklyn,9.05,Tuesday
89,Customer 089,40.830728643622344,-73.89126472129591,174.36,187,26,5788 Main Street,Bronx,6.71,Tuesday
83,Customer 083,40.63287188101084,-74.16028394578468,88.48,102,23,5196 Main Street,Brooklyn,3.85,Tuesday
63,Customer 063,40.689007393638555,-73.9173641706466,71.82,84,25,2191 Main Street,Brooklyn,2.87,Tuesday
62,Customer 062,40.689239848977614,-73.91777406506378,55.14,67,26,5607 Main Street,Brooklyn,2.12,Tuesday
29,Customer 029,40.853619797063494,-73.90831990645347,52.29,64,26,7711 Main Street,Bronx,2.01,Tuesday
81,Customer 081,40.68024236564245,-73.93137158188019,26.42,40,23,6143 Main Street,Brooklyn,1.15,Tuesday
56,Customer 056,40.7572560717902,-73.91514119505781,23.25,30,26,196 Main Street,Queens,0.89,Tuesday
67,Customer 067,40.86604266971237,-73.92623623009767,22.94,31,26,7664 Main Street,Bronx,0.88,Tuesday
36,Customer 036,40.80325822563249,-73.93591692391615,22.42,28,24,8370 Main Street,New York,0.93,Tuesday
11,Customer 011,40.652082455862505,-73.92481650340132,21.34,28,13,7338 Main Street,Brooklyn,1.64,Tuesday
84,Customer 084,40.66480658774192,-73.9572281363883,20.0,26,24,6249 Main Street,Brooklyn,0.83,Tuesday
13,Customer 013,40.81574307418728,-73.9379714247544,18.88,28,26,2880 Main Street,New York,0.73,Tuesday
44,Customer 044,40.685443993544496,-73.943950969423,16.18,26,25,4551 Main Street,Brooklyn,0.65,Tuesday
47,Customer 047,40.71773283828544,-73.98411846097412,14.18,26,26,3605 Main Street,Manhattan,0.55,Tuesday
28,Customer 028,40.71519521264396,-73.74349772371512,14.13,23,23,1846 Main Street,Queens,0.61,Tuesday
41,Customer 041,40.759382235947626,-73.93895415268634,13.96,25,25,4643 Main Street,New York,0.56,Tuesday
15,Customer 015,40.82239448550935,-73.91429829435131,13.94,24,24,3948 Main Street,Bronx,0.58,Tuesday
77,Customer 077,40.68010726771517,-73.91396093950846,13.39,21,12,433 Main Street,Brooklyn,1.12,Tuesday
90,Customer 090,40.66953057344241,-73.7824756165742,11.1,12,2,2817 Main Street,Queens,5.55,Tuesday
2,Customer 002,40.70595191172637,-73.75457110312014,8.52,12,12,6988 Main Street,Queens,0.71,Tuesday
72,Customer 072,40.65171110205392,-73.9191771105472,6.57,13,13,7006 Main Street,Brooklyn,0.51,Tuesday
94,Customer 094,40.69384632036886,-73.84342565090739,4.12,5,1,6034 Main Street,Queens,4.12,Tuesday
52,Customer 052,40.84586642009279,-73.89820757611032,3.26,4,2,6615 Main Street,Bronx,1.63,Tuesday
58,Customer 058,40.71874598664543,-73.98172887364404,3.16,6,6,8918 Main Street,Manhattan,0.53,Tuesday
53,Customer 053,40.7618627220245,-73.88916852512102,2.8,3,1,7983 Main Street,Queens,2.8,Tuesday
30,Customer 030,40.63878496266752,-73.97263862633669,2.72,3,1,4936 Main Street,Brooklyn,2.72,Tuesday
42,Customer 042,40.63208584532311,-73.96647452968952,2.36,3,1,9676 Main Street,Brooklyn,2.36,Tuesday
82,Customer 082,40.869718152184745,-73.87892875884225,2.28,3,2,1887 Main Street,Bronx,1.14,Tuesday
74,Customer 074,40.87654063424415,-73.86675762676278,2.23,3,1,9860 Main Street,Bronx,2.23,Tuesday
64,Customer 064,40.67139788117989,-73.9340888408256,2.19,3,1,962 Main Street,Brooklyn,2.19,Tuesday
68,Customer 068,40.63036297971589,-74.08136228889674,2.04,3,2,6717 Main Street,Brooklyn,1.02,Tuesday
61,Customer 061,40.598422117306654,-73.94163633556525,1.92,3,2,1492 Main Street,Brooklyn,0.96,Tuesday
25,Customer 025,40.69835136729073,-73.9158925078441,1.8,3,2,7706 Main Street,Brooklyn,0.9,Tuesday
17,Customer 017,40.68918573963909,-73.95966142657014,1.72,2,1,6140 Main Street,Brooklyn,1.72,Tuesday
34,Customer 034,40.768896755175966,-73.95610818925888,1.64,2,1,8705 Main Street,Manhattan,1.64,Tuesday
49,Customer 049,40.84161725986629,-73.90132809233144,1.62,2,2,4601 Main Street,Bronx,0.81,Tuesday
75,Customer 075,40.70710965261643,-73.94500754484459,1.62,2,1,1224 Main Street,Manhattan,1.62,Tuesday
16,Customer 016,40.854973107257365,-73.86437656576189,1.61,3,3,7050 Main Street,Bronx,0.54,Tuesday
8,Customer 008,40.81813101864817,-73.90411620231987,1.49,2,1,5203 Main Street,Bronx,1.49,Tuesday
46,Customer 046,40.773204917119784,-73.95678092820883,1.21,2,1,7680 Main Street,Manhattan,1.21,Tuesday
59,Customer 059,40.67755950741335,-73.91187495774679,1.2,2,2,4422 Main Street,Brooklyn,0.6,Tuesday
66,Customer 066,40.66065294279969,-73.87876303673895,1.1,2,1,719 Main Street,Brooklyn,1.1,Tuesday
23,Customer 023,40.76091447600587,-73.88181045003793,0.98,1,1,5240 Main Street,Queens,0.98,Tuesday
85,Customer 085,40.6758490834141,-73.87795663986044,0.96,1,1,4546 Main Street,Brooklyn,0.96,Tuesday
6,Customer 006,40.80740818873632,-73.96565982955099,0.86,1,1,4094 Main Street,Manhattan,0.86,Tuesday
60,Customer 060,40.676333247614394,-73.88613509640518,0.83,1,1,7740 Main Street,Brooklyn,0.83,Tuesday
86,Customer 086,40.85368960688969,-73.90929502876213,0.81,1,1,9711 Main Street,Bronx,0.81,Tuesday
43,Customer 043,40.68152075934443,-73.85443641970784,0.69,1,1,3007 Main Street,Queens,0.69,Tuesday
14,Customer 014,40.76099884306126,-73.94084004193822,0.67,1,1,2051 Main Street,Manhattan,0.67,Tuesday
65,Customer 065,40.76900862942308,-73.96497922070525,0.66,1,1,6945 Main Street,Manhattan,0.66,Tuesday
76,Customer 076,40.681777334052896,-73.87899490500013,0.61,1,1,1870 Main Street,Brooklyn,0.61,Tuesday
80,Customer 080,40.67620628689007,-73.74285399139629,0.59,1,1,6625 Main Street,Queens,0.59,Tuesday
39,Customer 039,40.84909985735391,-73.92113692416197,0.56,1,1,6571 Main Street,Bronx,0.56,Tuesday
10,Customer 010,40.65654070000209,-73.91897014191731,0.53,1,1,5350 Main Street,Brooklyn,0.53,Tuesday
54,Customer 054,40.70449809311375,-73.95658499114683,0.44,1,1,5102 Main Street,Manhattan,0.44,Tuesday
48,Customer 048,40.75405265049564,-73.81832518415463,0.42,1,1,6747 Main Street,Queens,0.42,Tuesday
18,Customer 018,40.84297611177931,-73.84592385676613,104.0,115,24,1798 Main Street,Bronx,4.33,Wednesday
26,Customer 026,40.67584687606802,-73.85557337127459,96.21,111,25,3238 Main Street,Queens,3.85,Wednesday
55,Customer 055,40.69661296220641,-73.82879015350318,85.49,90,12,4971 Main Street,Queens,7.12,Wednesday
92,Customer 092,40.63740290973405,-73.92010562279191,57.74,67,13,1594 Main Street,Brooklyn,4.44,Wednesday
21,Customer 021,40.68093339365346,-73.94670663597643,34.76,49,24,4086 Main Street,Brooklyn,1.45,Wednesday
67,Customer 067,40.86604266971237,-73.92623623009767,21.9,29,25,4434 Main Street,Bronx,0.88,Wednesday
19,Customer 019,40.778836484045,-73.98329931044094,21.43,29,24,7900 Main Street,Manhattan,0.89,Wednesday
82,Customer 082,40.869718152184745,-73.87892875884225,21.18,28,24,9898 Main Street,Bronx,0.88,Wednesday
25,Customer 025,40.69835136729073,-73.9158925078441,19.79,26,24,3255 Main Street,Brooklyn,0.82,Wednesday
86,Customer 086,40.85368960688969,-73.90929502876213,19.17,24,24,9541 Main Street,Bronx,0.8,Wednesday
24,Customer 024,40.896883630705474,-73.85135085346376,18.04,25,23,5519 Main Street,Bronx,0.78,Wednesday
3,Customer 003,40.86555164559,-73.88702973397817,16.34,17,2,6337 Main Street,Bronx,8.17,Wednesday
32,Customer 032,40.853589534832395,-73.89464414584027,14.27,25,24,3039 Main Street,Bronx,0.59,Wednesday
41,Customer 041,40.759382235947626,-73.93895415268634,13.99,23,23,7927 Main Street,New York,0.61,Wednesday
79,Customer 079,40.65822719611959,-73.92944076589842,12.88,16,7,2137 Main Street,Brooklyn,1.84,Wednesday
