Name,Weight,Total Weight NH,Quantity,Longitude,Latitude,OrderType,Seq,Rt,Food Pallets,Pet Food Pallets,Chemical Pallets,Total Case Cube
Site_00001,2025,2025,,-73.90945,40.824301,A,1,45,9.23,0,0,590.55
Site_00001,651,651,,-73.90945,40.824301,A,1,45,0.51,0,0,32.83
Site_00002,3034,3034,,-73.755109,40.706455,B,1,25,1.33,0.18,0,95.14
Site_00002,1020,1020,,-73.755109,40.706455,A,1,25,0.75,0,0,48.14
Site_00003,20020,20020,,-73.886421,40.865649,B,1,19,8.09,0,0,516.98
Site_00004,6076,6076,,-73.937964,40.818089,A,1,20,3.77,0,0,240.97
Site_00004,10205,10205,,-73.937964,40.818089,B,1,20,4.59,0,0,292.1
Site_00005,9392,9392,,-73.829483,40.697101,B,2,25,4.39,0.32,0,300.5
Site_00006,1719,1719,,-73.965102,40.806822,B,3,4,0.94,0,0,60.27
Site_00006,840,840,,-73.965102,40.806822,A,3,4,0.63,0,0,39.78
Site_00007,4683,4683,,-73.966459,40.631136,A,3,15,3.55,0,0,226.07
Site_00007,7292,7292,,-73.966459,40.631136,B,3,15,3.31,0,0,211.04
Site_00008,1224,1224,,-73.904332,40.817723,B,4,70,0.73,0,0,46.54
Site_00008,2916,2916,,-73.904332,40.817723,A,4,70,1.99,0,0,127.64
Site_00009,282,282,,-73.743968,40.600199,A,2,1,0.19,0,0,12.37
Site_00010,1094,1094,,-73.918561,40.657149,A,2,6,0.8,0,0,51.22
Site_00010,883,883,,-73.918561,40.657149,B,2,6,0.45,0,0,29.04
Site_00010,429,429,,-73.918561,40.657149,A,2,6,0.33,0,0,21.11
Site_00010,512,512,,-73.918561,40.657149,B,2,6,0.31,0,0,18.83
Site_00011,2952,2952,,-73.925014,40.652471,B,2,18,1.92,0,0,121.87
Site_00011,2190,2190,,-73.925014,40.652471,A,2,18,1.5,0,0,96.66
Site_00012,416,416,,-74.165054,40.636424,A,1,16,0.31,0,0,19.68
Site_00012,888,888,,-74.165054,40.636424,B,1,16,0.59,0,0,39.16
Site_00011,2108,2108,,-73.925014,40.652471,B,2,18,1.46,0,0,93.52
Site_00013,644,644,,-73.938389,40.815594,A,2,14,0.47,0,0,29.5
Site_00014,810,810,,-73.940382,40.760437,B,1,5,0.51,0,0,32.04
Site_00014,913,913,,-73.940382,40.760437,A,1,5,0.67,0,0,43.15
Site_00015,569,569,,-73.913614,40.822679,B,4,21,0.31,0,0,19.85
Site_00016,1103,1103,,-73.863858,40.854557,B,3,21,0.52,0,0,33.15
Site_00017,3034,3034,,-73.959936,40.688478,A,1,30,2.5,0,0,160.54
Site_00018,2582,2582,,-73.846291,40.842975,B,1,31,1.1,0,0,70.72
Site_00018,10655,10655,,-73.846291,40.842975,A,1,31,7.12,0,0,456.49
Site_00001,5129,5129,,-73.90945,40.824301,B,1,45,1.78,0,0,114.47
Site_00019,400,400,,-73.983105,40.779242,A,2,4,0.23,0,0,15
Site_00019,1010,1010,,-73.983105,40.779242,B,2,4,0.52,0,0,32.8
Site_00019,3487,3487,,-73.983105,40.779242,B,2,4,1.57,0,0,100.69
Site_00017,1398,1398,,-73.959936,40.688478,B,1,30,0.66,0,0,41.48
Site_00020,1636,1636,,-73.798948,40.708105,B,1,32,0.57,0,0,35.85
Site_00021,2516,2516,,-73.946297,40.680642,B,1,18,1.34,0,0,85.7
Site_00021,2002,2002,,-73.946297,40.680642,A,1,18,1.39,0,0,89.26
Site_00002,1176,1176,,-73.755109,40.706455,B,1,25,0.39,0,0,25.48
Site_00002,84,84,,-73.755109,40.706455,A,1,25,0.08,0,0,5.16
Site_00022,1188,1188,,-73.757057,40.706174,B,1,2,0.59,0,0,37.35
Site_00023,710,710,,-73.881529,40.760556,A,4,5,0.52,0,0,34.26
Site_00023,1723,1723,,-73.881529,40.760556,B,4,5,1.69,0,0.1,114.63
Site_00024,2396,2396,,-73.851808,40.897448,B,2,7,1.02,0,0,65.78
Site_00024,696,696,,-73.851808,40.897448,A,2,7,0.37,0,0,23.28
Site_00025,1716,1716,,-73.915575,40.698505,B,1,8,0.63,0,0,40.51
Site_00025,1730,1730,,-73.915575,40.698505,A,1,8,0.94,0,0,60.08
Site_00026,6702,6702,,-73.855033,40.675864,B,2,73,3.52,0,0,223.64
Site_00026,6988,6988,,-73.855033,40.675864,A,2,73,3.95,0,0,251.25
Site_00027,1107,1107,,-73.979923,40.686677,B,1,9,0.68,0,0,43.29
Site_00027,876,876,,-73.979923,40.686677,B,1,9,0.56,0,0,35.12
Site_00028,1191,1191,,-73.743745,40.714558,B,4,2,0.68,0,0,43.05
Site_00028,444,444,,-73.743745,40.714558,A,4,2,0.18,0,0,11.46
Site_00029,2641,2641,,-73.908741,40.853537,B,4,14,1.81,0,0,115.86
Site_00030,5397,5397,,-73.972577,40.638584,A,2,17,2.56,0,0,163.97
Site_00030,4448,4448,,-73.972577,40.638584,B,2,17,2.62,0,0,167.42
Site_00011,2180,2180,,-73.925014,40.652471,A,2,18,1.39,0,0,88.49
Site_00013,1869,1869,,-73.938389,40.815594,B,2,14,0.82,0,0,52.31
Site_00031,3361,3361,,-73.894993,40.856646,A,1,22,1.95,0,0,124.39
Site_00031,4844,4844,,-73.894993,40.856646,B,1,22,2.52,0,0.06,165.06
Site_00032,612,612,,-73.894742,40.85294,B,5,21,0.25,0,0,15.73
Site_00032,246,246,,-73.894742,40.85294,A,5,21,0.17,0,0,10.65
Site_00033,1398,1398,,-73.852194,40.886824,A,3,7,0.88,0,0,55.6
Site_00033,1342,1342,,-73.852194,40.886824,B,3,7,0.8,0,0,50.78
Site_00034,1424,1424,,-73.956197,40.76962,B,5,3,1.52,0,0.07,100.86
Site_00035,1371,1371,,-73.773869,40.595557,B,3,1,0.9,0,0,57.19
Site_00035,735,735,,-73.773869,40.595557,A,3,1,0.39,0,0,24.78
Site_00036,1115,1115,,-73.935822,40.802813,B,1,14,0.19,0,0.37,35.3
Site_00020,716,716,,-73.798948,40.708105,A,1,32,0.44,0,0,27.92
Site_00037,1845,1845,,-73.980124,40.63143,B,3,8,0.87,0,0,56.61
Site_00037,375,375,,-73.980124,40.63143,A,3,8,0.27,0,0,17.55
Site_00038,1571,1571,,-73.988842,40.717291,B,3,3,1.02,0,0,65.51
Site_00038,716,716,,-73.988842,40.717291,A,3,3,0.44,0,0,27.92
Site_00039,270,270,,-73.920809,40.849231,A,2,70,0.16,0,0,10.53
Site_00039,1828,1828,,-73.920809,40.849231,B,2,70,0.95,0,0,59.87
Site_00040,921,921,,-73.911528,40.764066,B,2,5,0.49,0,0,30.37
Site_00040,325,325,,-73.911528,40.764066,A,2,5,0.19,0,0,12.15
Site_00041,305,305,,-73.93938,40.758831,A,2,21,0.23,0,0,13.97
Site_00042,2892,2892,,-73.966721,40.632155,A,3,9,1.72,0,0,110.13
Site_00043,620,620,,-73.854296,40.681899,A,5,1,0.37,0,0,23.9
Site_00044,250,250,,-73.944422,40.685839,B,1,73,0.1,0,0,6.37
Site_00045,716,716,,-74.132531,40.635135,A, ,Bronx,0.44,0,0,27.92
Site_00045,2478,2478,,-74.132531,40.635135,B, ,Bronx,1.25,0,0,78.81
Site_00046,1020,1020,,-73.956166,40.773797,B,6,3,1.25,0,0,79.11
Site_00047,248,248,,-73.984452,40.718383,A,2,3,0.25,0,0,16.05
Site_00048,540,540,,-73.818268,40.753911,B,5,2,0.19,0,0,12
Site_00049,1171,1171,,-73.90082,40.842148,B,1,7,0.4,0,0,25.39
Site_00049,741,741,,-73.90082,40.842148,A,1,7,0.45,0,0,29.1
Site_00015,392,392,,-73.913614,40.822679,B,4,21,0.2,0,0,12.66
Site_00050,1495,1495,,-73.854923,40.885578,A,4,7,1,0,0,64.21
Site_00050,1730,1730,,-73.854923,40.885578,B,4,7,0.94,0,0,60.56
Site_00051,1156,1156,,-73.752989,40.607874,A,1,1,0.71,0,0,45.06
Site_00051,1268,1268,,-73.752989,40.607874,B,1,1,0.81,0,0,49.82
Site_00052,4390,4390,,-73.898403,40.846386,B,5,14,2.01,0,0,129.44
Site_00052,1550,1550,,-73.898403,40.846386,A,5,14,0.85,0,0,55.07
Site_00053,3335,3335,,-73.88855,40.762581,B,3,5,2.1,0,0,134.05
Site_00054,919,919,,-73.956012,40.705165,B,1,10,0.47,0,0,30.13
Site_00055,6179,6179,,-73.829483,40.697101,B,2,25,3.58,0.07,0,232.55
Site_00005,1982,1982,,-73.829483,40.697101,B,2,25,1.03,0,0,66.1
Site_00005,4340,4340,,-73.829483,40.697101,B,2,25,2.59,0,0,164.99
Site_00056,1340,1340,,-73.91479,40.756985,B,6,2,0.79,0,0,49.81
Site_00057,570,570,,-73.89229,40.820114,B,3,70,0.17,0.35,0,32.94
Site_00058,390,390,,-73.982147,40.719019,B,1,3,0.14,0.08,0,14
Site_00058,132,132,,-73.982147,40.719019,A,1,3,0.06,0,0,3.6
Site_00059,465,465,,-73.911799,40.676997,A,1,6,0.3,0,0,18.77
Site_00059,1296,1296,,-73.911799,40.676997,B,1,6,0.4,0.28,0,43.96
Site_00043,1052,1052,,-73.854296,40.681899,B,5,1,0.52,0.2,0,46.63
Site_00060,1170,1170,,-73.886739,40.676811,A,1,24,0.59,0,0,37.44
Site_00061,1554,1554,,-73.94157,40.598817,B,2,15,0.86,0,0,54.16
Site_00061,1522,1522,,-73.94157,40.598817,A,2,15,0.91,0,0,58.18
Site_00062,5156,5156,,-73.917483,40.689133,B,2,10,2.09,0,0,132.1
Site_00063,3236,3236,,-73.917483,40.689133,A,2,10,2.71,0,0,173.17
Site_00064,3698,3698,,-73.933604,40.672074,B,2,23,2.34,0.36,0,171.09
Site_00064,1620,1620,,-73.933604,40.672074,A,2,23,0.91,0,0,57.96
Site_00065,1940,1940,,-73.965367,40.768973,B,1,4,0.75,0.18,0.02,60.13
Site_00065,648,648,,-73.965367,40.768973,A,1,4,0.52,0,0,33.25
Site_00060,1767,1767,,-73.886739,40.676811,B,1,24,0.98,0.24,0,77.43
Site_00066,1186,1186,,-73.878954,40.661325,B,4,1,0.55,0.16,0,45.46
Site_00066,1549,1549,,-73.878954,40.661325,A,4,1,0.94,0,0,59.39
Site_00067,2142,2142,,-73.926461,40.866644,B,3,14,0.95,0,0,60.66
Site_00067,1106,1106,,-73.926461,40.866644,A,3,14,0.62,0,0,39.9
Site_00068,2067,2067,,-74.081236,40.629759,B,1,17,1.35,0.27,0,103.57
Site_00068,798,798,,-74.081236,40.629759,A,1,17,0.41,0,0,25.97
Site_00069,660,660,,-73.803554,40.688564,A,2,2,0.33,0,0,21.48
Site_00069,1688,1688,,-73.803554,40.688564,B,2,2,0.96,0.12,0,69.8
Site_00070,2205,2205,,-73.922095,40.674183,B,1,11,1.07,0,0,67.61
Site_00070,719,719,,-73.922095,40.674183,A,1,11,0.49,0,0,31.02
Site_00071,704,704,,-73.984268,40.748822,B,4,3,0.26,0,0.02,17.35
Site_00072,950,950,,-73.918683,40.651657,B,2,9,0.49,0,0,31.81
Site_00072,454,454,,-73.918683,40.651657,A,2,9,0.26,0,0,16.88
Site_00073,1080,1080,,-73.962305,40.649989,A,2,8,0.62,0,0,39.99
Site_00073,1741,1741,,-73.962305,40.649989,B,2,8,1.02,0.24,0,80.07
Site_00074,3945,3945,,-73.866894,40.876713,B,1,71,2.2,0.06,0,144.28
Site_00074,4372,4372,,-73.866894,40.876713,A,1,71,2.4,0,0,153.49
Site_00042,4872,4872,,-73.966721,40.632155,B,3,9,2.57,0.31,0,184.14
Site_00075,3007,3007,,-73.944981,40.70765,B,3,6,1.55,0.27,0,116.97
Site_00075,2290,2290,,-73.944981,40.70765,A,3,6,1.22,0,0,78.39
Site_00076,1128,1128,,-73.878369,40.681902,B,3,10,0.55,0.2,0,48
Site_00076,984,984,,-73.878369,40.681902,A,3,10,0.56,0,0,35
Site_00077,1700,1700,,-73.913947,40.680306,B,1,23,1.01,0.36,0,87.06
Site_00077,1379,1379,,-73.913947,40.680306,A,1,23,0.8,0,0,51.29
Site_00078,1283,1283,,-73.949679,40.761957,A,1,21,0.77,0,0,49.23
Site_00079,3394,3394,,-73.929401,40.658408,A,2,24,1.81,0,0,115.76
Site_00078,852,852,,-73.949679,40.761957,B,1,21,0.53,0.24,0,48.88
Site_00079,3484,3484,,-73.929401,40.658408,B,2,24,1.75,0.24,0,127.14
Site_00080,1630,1630,,-73.742885,40.675533,B,3,2,0.88,0,0,56.3
Site_00080,805,805,,-73.742885,40.675533,A,3,2,0.43,0,0,28.02
Site_00081,2137,2137,,-73.930654,40.680271,B,3,17,1.43,0,0,90.42
Site_00081,1248,1248,,-73.930654,40.680271,A,3,17,0.7,0,0,45.04
Site_00082,3518,3518,,-73.879523,40.869665,B,1,70,1.51,0,0,96.94
Site_00082,497,497,,-73.879523,40.869665,A,1,70,0.26,0,0,16.65
Site_00083,13730,13730,,-74.160365,40.632643,B,2,16,3.68,0,0,235.44
