Work Order Number,Customer Number,Memo (Main),Name,Address,City,State,Zip,FixedTime,Weight,Total Weight NH,OrderDate,Quantity,Total Quantity,EqCode,Open1,Close1,Pattern1,Longitude,Latitude,OrderType,Filler,Shipment Date,Standing Appointment,Seq,County,Rt,Food Pallets, Pet Food Pallets,Chemical Pallets,Delivery Instructions,Total Case Cube,Static Appointment
975614,4027,- None -,Peruvian Civic Center of NY,37-01 Bowne St,Flushing,NY,11354,30,409,409,1/28/2026,,24, ,0830,1230,W,-73.883237,40.755793,Cold,No,1/28/2026,No,1, ,45,0.34,0,0,- None -,21.42,No
977180,85398,- None -,Wadleigh Secondary School for the Performing,215 WEST 114 STREET,New York,NY,10026,30,564,564,1/28/2026,,43, ,0830,1230,W,-73.954142,40.802207,Dry,No,1/28/2026,No,1,Manhattan,10,0.37,0,0.05,8:30-12:30,26.81,No
977184,85398,- None -,Wadleigh Secondary School for the Performing,215 WEST 114 STREET,New York,NY,10026,30,895,895,1/28/2026,,39, ,0830,1230,W,-73.954142,40.802207,Cold,No,1/28/2026,No,1,Manhattan,10,0.69,0,0,8:30-12:30,43.89,No
977330,82743,- None -,J.U.S.T.I.C.E. Organization,223 Beach 28th Street,Far Rockaway,NY,11691,30,1248,1248,1/28/2026,,46, ,0830,1230,W,-73.761226,40.595639,Dry,No,1/28/2026,No,2,Queens,2,0.47,0,0,Ring bell,29.2,No
977332,82743,- None -,J.U.S.T.I.C.E. Organization,223 Beach 28th Street,Far Rockaway,NY,11691,30,2632,2632,1/28/2026,,108, ,0830,1230,W,-73.761226,40.595639,Cold,No,1/28/2026,No,2,Queens,2,1.87,0,0,Ring bell,119.12,No
977376,85348,- None -,The Legacy Center Community Development Corp.,71-02 Cypress Hills Street,Glendale,NY,11385,30,2592,2592,1/28/2026,,104, ,0830,1230,W,-73.892395,40.701741,Cold,Yes,1/28/2026,Yes,1,Queens,14,1.84,0,0,Wednesday's,117.68,Yes
977377,85348,- None -,The Legacy Center Community Development Corp.,71-02 Cypress Hills Street,Glendale,NY,11385,30,1551,1551,1/28/2026,,74, ,0830,1230,W,-73.892395,40.701741,Dry,Yes,1/28/2026,Yes,1,Queens,14,0.63,0,0,Wednesday's,39.01,Yes
977378,84268,- None -,New Covenant Community Development Corp.,1175 Boston Road,Bronx,NY,10456,30,2226,2226,1/28/2026,,84, ,0830,1230,W,-73.90312,40.828841,Dry,Yes,1/28/2026,Yes,2,Bronx,9,0.88,0,0,- None -,55.46,Yes
977379,84268,- None -,New Covenant Community Development Corp.,1175 Boston Road,Bronx,NY,10456,30,2592,2592,1/28/2026,,104, ,0830,1230,W,-73.90312,40.828841,Cold,Yes,1/28/2026,Yes,2,Bronx,9,1.84,0,0,- None -,117.68,Yes
977380,85448,- None -,Vets Inc,143-17 Springfield Blvd,Springfield Gardens,NY,11413,30,2012,2012,1/28/2026,,90, ,0830,1230,W,-73.756857,40.668109,Dry,Yes,1/28/2026,Yes,2,Queens,4,1.2,0,0,- None -,75.82,Yes
977382,85448,- None -,Vets Inc,143-17 Springfield Blvd,Springfield Gardens,NY,11413,30,2474,2474,1/28/2026,,93, ,0830,1230,W,-73.756857,40.668109,Cold,Yes,1/28/2026,Yes,2,Queens,4,1.75,0,0,- None -,111.66,Yes
977383,85022,- None -,Taurus Associates,240-08 135th Avenue,Rosedale,NY,11422,30,1456,1456,1/28/2026,,54, ,0830,1230,W,-73.734466,40.672149,Dry,Yes,1/28/2026,Yes,1,Queens,4,0.55,0,0,- None -,34.16,Yes
977384,85022,- None -,Taurus Associates,240-08 135th Avenue,Rosedale,NY,11422,30,1424,1424,1/28/2026,,62, ,0830,1230,W,-73.734466,40.672149,Cold,Yes,1/28/2026,Yes,1,Queens,4,0.97,0,0,- None -,62.61,Yes
977502,82212,- None -,Bethel AME Church,60 West 132nd  Street,New York,NY,10037,30,3686,3686,1/28/2026,,203, ,0830,1230,W,-73.940603,40.811509,Dry,Yes,1/28/2026,Yes,3,Manhattan,10,1.89,0,0,Ring doorbell on front door,120.61,Yes
977503,82212,- None -,Bethel AME Church,60 West 132nd  Street,New York,NY,10037,30,2033,2033,1/28/2026,,82, ,0830,1230,W,-73.940603,40.811509,Cold,Yes,1/28/2026,Yes,3,Manhattan,10,1.48,0,0,Ring doorbell on front door,94.19,Yes
977531,85537,- None -,Apna Food Pantry Brighton Beach,225 Neptune Avenue,Brooklyn,NY,11235,30,3526,3526,1/28/2026,,118, ,0830,1230,W,-73.961703,40.581594,Cold,No,1/28/2026,No,2,Brooklyn,6,2.57,0,0,- None -,163.9,No
977553,82298,- None -,Primitive Christian Church,207-209 East Broadway,New York,NY,10002,30,824,824,1/28/2026,,40, ,0830,1230,W,-73.987905,40.714244,Dry,Yes,1/28/2026,Yes,1,Manhattan,21,0.37,0,0,"Delivery only on Wed, Thur or Fri.",23.2,Yes
977554,82298,- None -,Primitive Christian Church,207-209 East Broadway,New York,NY,10002,30,2744,2744,1/28/2026,,108, ,0830,1230,W,-73.987905,40.714244,Cold,Yes,1/28/2026,Yes,1,Manhattan,21,1.94,0,0,"Delivery only on Wed, Thur or Fri.",123.12,Yes
977577,80065,- None -,Gethsemane Baptist Church,771 Fairmount Place,Bronx,NY,10460,30,890,890,1/28/2026,,33, ,0830,1230,W,-73.889532,40.842956,Dry,Yes,1/28/2026,Yes,1,Bronx,1,0.35,0,0,Wed. Delivery ONLY between 8am-12noon,22.16,Yes
977578,80065,- None -,Gethsemane Baptist Church,771 Fairmount Place,Bronx,NY,10460,30,1269,1269,1/28/2026,,43, ,0830,1230,W,-73.889532,40.842956,Cold,Yes,1/28/2026,Yes,1,Bronx,1,0.91,0,0,Wed. Delivery ONLY between 8am-12noon,57.58,Yes
977579,85765,- None -,"The Disciples of Galilee, Inc.",725 Castle Hill Avenue,Bronx,NY,10473,30,284,284,1/28/2026,,21, ,0830,1230,W,-73.848646,40.821616,Dry,No,1/28/2026,No,1, ,12,0.2,0,0,- None -,12.08,No
977581,85765,- None -,"The Disciples of Galilee, Inc.",725 Castle Hill Avenue,Bronx,NY,10473,30,294,294,1/28/2026,,6, ,0830,1230,W,-73.848646,40.821616,Cold,No,1/28/2026,No,1, ,12,0.2,0,0,- None -,12.54,No
977597,84504,- None -,Blessed Virgin Mary St. Mary's Winfield,70-31 48th Avenue,Woodside,NY,11377,30,1777,1777,1/28/2026,,62, ,0830,1230,W,-73.893797,40.738317,Cold,No,1/28/2026,No,2,Queens,14,1.27,0,0,Straight Trucks Only,81.63,No
977598,84504,- None -,Blessed Virgin Mary St. Mary's Winfield,70-31 48th Avenue,Woodside,NY,11377,30,864,864,1/28/2026,,32, ,0830,1230,W,-73.893797,40.738317,Dry,No,1/28/2026,No,2,Queens,14,0.35,0,0,Straight Trucks Only,21.84,No
977624,82210,- None -,Spanish SDA Church,1038 Prospect Avenue,Bronx,NY,10459,30,3303,3303,1/28/2026,,112, ,0830,1230,W,-73.899622,40.824457,Cold,Yes,1/28/2026,Yes,1,Bronx,9,2.38,0,0,"Please, 9am - 12:30 - The best way to deliver the items is using the back part of the building, located on the Rev. James Polite side",152.59,Yes
977665,81168,- None -,Jewish Comm Council of Canarsie,1170 Pennsylvania Avenue,Brooklyn,NY,11239,30,448,448,1/28/2026,,16, ,0830,1230,W,-73.88538,40.651533,Dry,Yes,1/28/2026,Yes,1,Brooklyn,16,0.21,0,0,No Del on Friday,13.12,Yes
977667,81595,- None -,Project Lead,85-12 126th Street,Kew Gardens,NY,11415,30,448,448,1/28/2026,,16, ,0830,1230,W,-73.82771,40.70236,Dry,Yes,1/28/2026,Yes,1,Queens,5,0.21,0,0,"ILYA Requested Delivery 8:30 - 10:30, if possible.  Volunteers at another site. Morning between Lefferts Blvd and Brevvoort Street, Brown garage door on 126th Street, next door to gas station",13.12,Yes
977684,85167,- None -,ICNA Relief USA,87-91 144th Street,Jamaica,NY,11435,30,3952,3952,1/28/2026,,214, ,1230,1630,W,-73.811813,40.704531,Dry,No,1/28/2026,No,2,Queens,5,1.88,0,0,9am-4:30pm - Please ring door bell on the outside of the white metal door,119.35,No
977743,80136,- None -,The Salvation Army Tremont Corps,2121 Washington Avenue,Bronx,NY,10457,30,389,389,1/28/2026,,17, ,1230,1630,W,-73.895268,40.852013,Cold,Yes,1/28/2026,Yes,1,Bronx,45,0.29,0,0,"Please, Wed 10am-1pm & All other days, 10am-2:30pm.  Ring the bell when outside",18.21,Yes
977755,81402,- None -,National Comm. For Furtherance of Jewish Ed.,824 Eastern Parkway,Brooklyn,NY,11213,30,416,416,1/28/2026,,16, ,0830,1230,W,-73.940979,40.669328,Dry,No,1/28/2026,No,2,Brooklyn,19,0.14,0,0,"Only, Mondays and Wednesday, 9:00-2:00pm. Started, June 28th till August 20th.",8.72,No
977756,80212,- None -,SCO Family of Services/Bethany House,164 Suydam Street,Brooklyn,NY,11221,30,3083,3083,1/28/2026,,198, ,1230,1630,W,-73.926353,40.699435,Dry,Yes,1/28/2026,Yes,4,Brooklyn,18,2.03,0,0.14,Wednesday bet 9:30am 4:00PM,138.56,Yes
977757,81402,- None -,National Comm. For Furtherance of Jewish Ed.,824 Eastern Parkway,Brooklyn,NY,11213,30,800,800,1/28/2026,,20, ,0830,1230,W,-73.940979,40.669328,Cold,No,1/28/2026,No,2,Brooklyn,19,0.61,0,0,"Only, Mondays and Wednesday, 9:00-2:00pm. Started, June 28th till August 20th.",39.2,No
977758,80212,- None -,SCO Family of Services/Bethany House,164 Suydam Street,Brooklyn,NY,11221,30,590,590,1/28/2026,,35, ,1230,1630,W,-73.926353,40.699435,Cold,Yes,1/28/2026,Yes,4,Brooklyn,18,0.4,0,0,Wednesday bet 9:30am 4:00PM,25.81,Yes
977759,84740,- None -,St. James Holiness Church,89 Legion Street,Brooklyn,NY,11212,30,1052,1052,1/28/2026,,30, ,0830,1230,W,-73.917814,40.666876,Cold,Yes,1/28/2026,Yes,4,Brooklyn,16,0.71,0,0,Deliveries should be made only on Wednesday mornings.,45.28,Yes
977760,84740,- None -,St. James Holiness Church,89 Legion Street,Brooklyn,NY,11212,30,340,340,1/28/2026,,20, ,0830,1230,W,-73.917814,40.666876,Dry,Yes,1/28/2026,Yes,4,Brooklyn,16,0.15,0,0,Deliveries should be made only on Wednesday mornings.,9.9,Yes
977805,85600,- None -,Life Together Works Inc.,2347 Lafayette Avenue,Bronx,NY,10473,30,10779,10779,1/28/2026,,580, ,0830,1230,W,-73.844681,40.82385,Dry,No,1/28/2026,No,1,Bronx,70,6.59,0,0,830-2:30pm. Driver should go through the driveway and along the back for pantry entrance.,421.46,No
977806,85600,- None -,Life Together Works Inc.,2347 Lafayette Avenue,Bronx,NY,10473,30,2203,2203,1/28/2026,,79, ,0830,1230,W,-73.844681,40.82385,Cold,No,1/28/2026,No,1,Bronx,70,1.57,0,0,830-2:30pm. Driver should go through the driveway and along the back for pantry entrance.,100.43,No
977811,84189,- None -,Community Services Housing Development Corp.,547 Howard Avenue,Brooklyn,NY,11233,30,1072,1072,1/28/2026,,40, ,0830,1230,W,-73.920053,40.668898,Dry,Yes,1/28/2026,Yes,1,Brooklyn,19,0.38,0,0,Entrance on Lincoln Place,24.32,Yes
977834,80996,- None -,CCNS-St. Michael's Church,136-76 41st Avenue,Flushing,NY,11355,30,5952,5952,1/28/2026,,274, ,0830,1230,W,-73.829044,40.758668,Dry,No,1/28/2026,No,2,Queens,3,1.74,0,0,Ring bell to basement of Rectory down one flight of steps,111.02,No
977863,85328,- None -,Full Effect Gospel Ministries,900 New Lots Ave,Brooklyn,NY,11208,30,3090,3090,1/28/2026,,103, ,1230,1630,W,-73.8779,40.668427,Cold,Yes,1/28/2026,Yes,1,Brooklyn,73,2.04,0,0,9:30am - 4:30pm - Ring Doorbell,131.28,Yes
977866,85328,- None -,Full Effect Gospel Ministries,900 New Lots Ave,Brooklyn,NY,11208,30,3030,3030,1/28/2026,,157, ,1230,1630,W,-73.8779,40.668427,Dry,Yes,1/28/2026,Yes,1,Brooklyn,73,1.44,0,0,9:30am - 4:30pm - Ring Doorbell,90.42,Yes
977870,87233,- None -,Forest Hills Senior Center,108-25 62nd Drive,Forest Hills,NY,11375,30,3478,3478,1/28/2026,,130, ,0830,1230,W,-73.850212,40.73591,Dry,No,1/28/2026,No,3,Queens,14,1.58,0,0,"Deliver only Tues, Wed, Thur 9-1pm Drivers need to go down a walkway because of construction of confusion arrives call Karen",100.43,No
977872,87233,- None -,Forest Hills Senior Center,108-25 62nd Drive,Forest Hills,NY,11375,30,3262,3262,1/28/2026,,122, ,0830,1230,W,-73.850212,40.73591,Cold,No,1/28/2026,No,3,Queens,14,2.37,0,0,"Deliver only Tues, Wed, Thur 9-1pm Drivers need to go down a walkway because of construction of confusion arrives call Karen",150.72,No
977876,80604,- None -,Holy Apostles Soup Kitchen,296 9th Avenue,New York,NY,10001,30,1224,1224,1/28/2026,,44, ,0830,1230,W,-73.999188,40.749416,Dry,Yes,1/28/2026,Yes,2,Manhattan,21,0.48,0,0,Only 8am-10am,30.36,Yes
977877,80604,- None -,Holy Apostles Soup Kitchen,296 9th Avenue,New York,NY,10001,30,800,800,1/28/2026,,20, ,0830,1230,W,-73.999188,40.749416,Cold,Yes,1/28/2026,Yes,2,Manhattan,21,0.61,0,0,Only 8am-10am,39.2,Yes
977886,85320,- None -,Christ Temple of the Apostolic Faith,13 West 128th Street,New York,NY,10027,30,502,502,1/28/2026,,22, ,1230,1630,W,-73.941592,40.808655,Dry,Yes,1/28/2026,Yes,4,Manhattan,21,0.17,0,0,930am-430pm - Agency is a Breakdown has to be bring it inside carry it through 3 steps. Arrive between scheduled hours. Take items to storage area,10.96,Yes
977887,85320,- None -,Christ Temple of the Apostolic Faith,13 West 128th Street,New York,NY,10027,30,500,500,1/28/2026,,14, ,1230,1630,W,-73.941592,40.808655,Cold,Yes,1/28/2026,Yes,4,Manhattan,21,0.38,0,0,930am-430pm - Agency is a Breakdown has to be bring it inside carry it through 3 steps. Arrive between scheduled hours. Take items to storage area,24,Yes
977890,85592,- None -,Hope For Humanity Inc.,111- 113 Vermilyea Avenue,New York,NY,10034,30,2264,2264,1/28/2026,,84, ,1230,1630,W,-73.921732,40.866337,Dry,No,1/28/2026,No,3,Manhattan,72,0.86,0,0,"Available Monday- Friday 12pm-4pm, unless  the Sales order/s indicates 8:30-12:30pm.  Ring the doorbell on the RED side door",54.46,No
977893,84221,- None -,Christian Cultural Center,120-20 Flatlands Avenue,Brooklyn,NY,11207,30,5021,5021,1/28/2026,,232, ,0830,1230,W,-73.889936,40.651172,Dry,Yes,1/28/2026,Yes,2,Brooklyn,16,2.03,0,0,use gate located on Louisiana Ave across from Food Bazaar supermarket,128.91,Yes
