Name,Longitude,Latitude,Rt,Food Pallets,Pet Food Pallets,Chemical Pallets,Seq
Customer 001,-73.90903906592717,40.82393494763585,45,9.23,0.0,0.0,1
Customer 001,-73.90954168234038,40.82495506535507,45,0.51,0.0,0.0,1
Customer 002,-73.75457110312014,40.70595191172637,25,1.33,0.18,0.0,1
Customer 002,-73.75481294795641,40.705772365929086,25,0.75,0.0,0.0,1
Customer 003,-73.88702973397817,40.86555164559,19,8.09,0.0,0.0,1
Customer 004,-73.93725056647254,40.81882756334608,20,3.77,0.0,0.0,1
Customer 004,-73.93757229044701,40.818676515899384,20,4.59,0.0,0.0,1
Customer 005,-73.82905390354207,40.69747391202919,25,4.39,0.32,0.0,2
Customer 006,-73.96565982955099,40.80740818873632,4,0.94,0.0,0.0,3
Customer 006,-73.96517642109316,40.80741216995954,4,0.63,0.0,0.0,3
Customer 007,-73.96665280296365,40.63116428754058,15,3.55,0.0,0.0,3
Customer 007,-73.96581885251673,40.63085989357774,15,3.31,0.0,0.0,3
Customer 008,-73.90411620231987,40.81813101864817,70,0.73,0.0,0.0,4
Customer 008,-73.90384785758009,40.81796549189475,70,1.99,0.0,0.0,4
Customer 009,-73.74405287870175,40.600009486593315,1,0.19,0.0,0.0,2
Customer 010,-73.91897014191731,40.65654070000209,6,0.8,0.0,0.0,2
Customer 010,-73.91847912281948,40.65751918441702,6,0.45,0.0,0.0,2
Customer 010,-73.91921527411584,40.656792690773884,6,0.33,0.0,0.0,2
Customer 010,-73.918069553242,40.6578042197258,6,0.31,0.0,0.0,2
Customer 011,-73.92481650340132,40.652082455862505,18,1.92,0.0,0.0,2
Customer 011,-73.92462686838988,40.65190513689861,18,1.5,0.0,0.0,2
Customer 012,-74.1652722110478,40.636920669008184,16,0.31,0.0,0.0,1
Customer 012,-74.16434795296341,40.63590392647493,16,0.59,0.0,0.0,1
Customer 011,-73.92442431831802,40.65198990246223,18,1.46,0.0,0.0,2
Customer 013,-73.9379714247544,40.81574307418728,14,0.47,0.0,0.0,2
Customer 014,-73.94084004193822,40.76099884306126,5,0.51,0.0,0.0,1
Customer 014,-73.94043191849441,40.75998165199857,5,0.67,0.0,0.0,1
Customer 015,-73.91429829435131,40.82239448550935,21,0.31,0.0,0.0,4
Customer 016,-73.86437656576189,40.854973107257365,21,0.52,0.0,0.0,3
Customer 017,-73.95966142657014,40.68918573963909,30,2.5,0.0,0.0,1
Customer 018,-73.84592385676613,40.84297611177931,31,1.1,0.0,0.0,1
Customer 018,-73.84558973540135,40.84244084625383,31,7.12,0.0,0.0,1
Customer 001,-73.9097112619628,40.82357190443156,45,1.78,0.0,0.0,1
Customer 019,-73.98329931044094,40.778836484045,4,0.23,0.0,0.0,2
Customer 019,-73.98315066628308,40.77868973332669,4,0.52,0.0,0.0,2
Customer 019,-73.98357079296137,40.77950848801042,4,1.57,0.0,0.0,2
Customer 017,-73.960491117742,40.68791074875695,30,0.66,0.0,0.0,1
Customer 020,-73.79898444261066,40.70811449489744,32,0.57,0.0,0.0,1
Customer 021,-73.94670663597643,40.68093339365346,18,1.34,0.0,0.0,1
