Vehicle,Pallet Capacity
Truck_Cap10_1,10
Truck_Cap10_2,10
Truck_Cap10_3,10
Truck_Cap10_4,10
Truck_Cap10_5,10
Truck_Cap10_6,10
Truck_Cap10_7,10
Truck_Cap10_8,10
Truck_Cap10_9,10
Truck_Cap10_10,10
Truck_Cap10_11,10
Truck_Cap10_12,10
Truck_Cap10_13,10
Truck_Cap10_14,10
Truck_Cap10_15,10
Truck_Cap10_16,10
Truck_Cap10_17,10
Truck_Cap10_18,10
Truck_Cap10_19,10
Truck_Cap10_20,10
Truck_Cap12_1,12
Truck_Cap12_2,12
Truck_Cap12_3,12
Truck_Cap12_4,12
Truck_Cap12_5,12
Truck_Cap12_6,12
Truck_Cap12_7,12
Truck_Cap12_8,12
Truck_Cap12_9,12
Truck_Cap12_10,12
Truck_Cap12_11,12
Truck_Cap12_12,12
Truck_Cap12_13,12
Truck_Cap12_14,12
Truck_Cap12_15,12
Truck_Cap22_1,22
Truck_Cap22_2,22
Truck_Cap22_3,22
Truck_Cap22_4,22
